BOLSIG+ script file: ex.dat
READCOLLISIONS
Surge
LXCat.txt
C1    Surge    Elastic                                          
RUNSERIES
R622  1.28 Td    10.0 eV                                        
R623  1.30 Td    10.1 eV                                        
R624  1.31 Td    10.1 eV                                        
R625  1.33 Td    10.1 eV                                        
R626  1.34 Td    10.1 eV                                        
R627  1.36 Td    10.1 eV                                        
R628  1.37 Td    10.1 eV                                        
R629  1.39 Td    10.1 eV                                        
R630  1.41 Td    10.2 eV                                        
R631  1.42 Td    10.2 eV                                        
R632  1.44 Td    10.2 eV                                        
R633  1.46 Td    10.2 eV                                        
R634  1.47 Td    10.2 eV                                        
R635  1.49 Td    10.2 eV                                        
R636  1.51 Td    10.3 eV                                        
R637  1.52 Td    10.3 eV                                        
R638  1.54 Td    10.3 eV                                        
R639  1.56 Td    10.3 eV                                        
R640  1.58 Td    10.3 eV                                        
R641  1.60 Td    10.3 eV                                        
R642  1.62 Td    10.4 eV                                        
R643  1.63 Td    10.4 eV                                        
R644  1.65 Td    10.4 eV                                        
R645  1.67 Td    10.4 eV                                        
R646  1.69 Td    10.4 eV                                        
R647  1.71 Td    10.4 eV                                        
R648  1.73 Td    10.5 eV                                        
R649  1.75 Td    10.5 eV                                        
R650  1.77 Td    10.5 eV                                        
R651  1.79 Td    10.5 eV                                        
R652  1.81 Td    10.5 eV                                        
R653  1.83 Td    10.6 eV                                        
R654  1.85 Td    10.6 eV                                        
R655  1.88 Td    10.6 eV                                        
R656  1.90 Td    10.6 eV                                        
R657  1.92 Td    10.6 eV                                        
R658  1.94 Td    10.7 eV                                        
R659  1.96 Td    10.7 eV                                        
R660  1.99 Td    10.7 eV                                        
R661  2.01 Td    10.7 eV                                        
